target,server,query_class,response_format,concurrency,repetition,requests,error_fraction,rps,latency_p50_s,latency_p95_s,ttfb_p95_s,mean_response_bytes,generator_cpu_peak,generator_guard_ok
dachs-local,dachs,Q06,votable,4,2,699,0.0,5.798,0.651306,0.925826,0.925207,90018.0,0.01,True
egernia-local,egernia,Q06,votable,4,3,14993,0.0,124.912,0.030907,0.046182,0.042675,95707.7,0.1,True
dachs-local,dachs,Q06,votable,4,3,700,0.0,5.807,0.647749,0.929241,0.928651,86361.4,0.015,True
egernia-local,egernia,Q06,votable,8,1,16215,0.0,135.056,0.057547,0.082146,0.075058,96654.4,0.095,True
dachs-local,dachs,Q06,votable,8,1,940,0.0,7.784,0.981125,1.460526,1.460043,90895.8,0.015,True
egernia-local,egernia,Q06,votable,8,2,16200,0.0,134.959,0.057637,0.08249,0.074892,95974.1,0.095,True
dachs-local,dachs,Q06,votable,8,2,924,0.0,7.645,0.996573,1.499522,1.498895,88585.0,0.015,True
egernia-local,egernia,Q06,votable,8,3,16215,0.0,135.091,0.057467,0.08254,0.075267,95527.7,0.1,True
dachs-local,dachs,Q06,votable,8,3,925,0.0,7.645,0.999454,1.44701,1.446601,87484.9,0.015,True
egernia-local,egernia,Q06,votable,16,1,15825,0.0,131.779,0.118693,0.160254,0.146665,96760.8,0.095,True
dachs-local,dachs,Q06,votable,16,1,1037,0.0,8.552,1.836502,2.436975,2.43619,90838.7,0.015,True
egernia-local,egernia,Q06,votable,16,2,15762,0.0,131.255,0.118998,0.160775,0.147382,95979.4,0.095,True
dachs-local,dachs,Q06,votable,16,2,1045,0.0,8.611,1.819953,2.377873,2.377432,89040.6,0.015,True
egernia-local,egernia,Q06,votable,16,3,15799,0.0,131.564,0.118828,0.160545,0.146556,95625.0,0.105,True
dachs-local,dachs,Q06,votable,16,3,1046,0.0,8.602,1.808828,2.419189,2.418659,87505.4,0.015,True
egernia-local,egernia,Q06,votable,32,1,14953,0.0,124.422,0.252714,0.315529,0.301934,96564.0,0.115,True
dachs-local,dachs,Q06,votable,32,1,1059,0.0,8.609,3.697575,4.072962,4.068475,90839.5,0.015,True
egernia-local,egernia,Q06,votable,32,2,15004,0.0,124.838,0.251407,0.314956,0.300663,95792.1,0.1,True
dachs-local,dachs,Q06,votable,32,2,1053,0.0,8.554,3.700676,4.28319,4.282483,88557.8,0.015,True
egernia-local,egernia,Q06,votable,32,3,14924,0.0,124.131,0.25337,0.315279,0.301096,95707.8,0.105,True
dachs-local,dachs,Q06,votable,32,3,1063,0.0,8.603,3.696099,4.122557,4.121917,87844.6,0.015,True
egernia-local,egernia,Q07,votable,1,1,9067,0.0,75.546,0.013073,0.018517,0.017925,28179.5,0.15,True
dachs-local,dachs,Q07,votable,1,1,209,0.0,1.738,0.554547,0.788855,0.788276,28003.1,0.01,True
egernia-local,egernia,Q07,votable,1,2,9054,0.0,75.443,0.01308,0.018498,0.017879,28474.2,0.155,True
dachs-local,dachs,Q07,votable,1,2,211,0.0,1.757,0.547953,0.79302,0.792517,30544.1,0.01,True
egernia-local,egernia,Q07,votable,1,3,9065,0.0,75.535,0.013084,0.018521,0.017895,28461.6,0.155,True
dachs-local,dachs,Q07,votable,1,3,211,0.0,1.751,0.553337,0.778933,0.778454,28875.4,0.01,True
egernia-local,egernia,Q07,votable,4,1,18458,0.0,153.79,0.02494,0.037838,0.035943,28303.8,0.105,True
dachs-local,dachs,Q07,votable,4,1,706,0.0,5.858,0.640387,0.922199,0.921688,29133.9,0.01,True
egernia-local,egernia,Q07,votable,4,2,18573,0.0,154.761,0.024775,0.037817,0.035958,28264.7,0.1,True
dachs-local,dachs,Q07,votable,4,2,701,0.0,5.808,0.649743,0.926382,0.925915,30477.9,0.01,True
egernia-local,egernia,Q07,votable,4,3,18718,0.0,155.959,0.024623,0.037566,0.0358,28469.1,0.1,True
dachs-local,dachs,Q07,votable,4,3,710,0.0,5.89,0.639495,0.924947,0.92446,28826.1,0.01,True
egernia-local,egernia,Q07,votable,8,1,19326,0.0,161.01,0.047963,0.070041,0.066516,28344.2,0.1,True
dachs-local,dachs,Q07,votable,8,1,926,0.0,7.676,0.990782,1.47493,1.474336,29638.6,0.015,True
egernia-local,egernia,Q07,votable,8,2,19434,0.0,161.898,0.047864,0.069606,0.066163,28241.6,0.1,True
dachs-local,dachs,Q07,votable,8,2,923,0.0,7.656,0.992104,1.480382,1.479914,29876.5,0.01,True
egernia-local,egernia,Q07,votable,8,3,19359,0.0,161.29,0.048026,0.069568,0.066323,28511.6,0.115,True
dachs-local,dachs,Q07,votable,8,3,925,0.0,7.675,0.997675,1.455506,1.454878,28872.6,0.01,True
egernia-local,egernia,Q07,votable,16,1,18530,0.0,154.35,0.10066,0.136977,0.130239,28293.8,0.115,True
dachs-local,dachs,Q07,votable,16,1,1013,0.0,8.352,1.886231,2.483113,2.482605,29716.8,0.015,True
egernia-local,egernia,Q07,votable,16,2,18507,0.0,154.147,0.100844,0.136669,0.13055,28260.2,0.115,True
dachs-local,dachs,Q07,votable,16,2,1012,0.0,8.321,1.892261,2.416584,2.416109,29596.7,0.015,True
egernia-local,egernia,Q07,votable,16,3,18527,0.0,154.297,0.100911,0.136496,0.130171,28520.5,0.115,True
